ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
cent2092,Central Sama,Papunesia,7.004574,118.455978,cent2092,sml,aust1307,inne1244,False,language,safe,,,0,0,1,PH
cent2100,Central Dusun,Papunesia,6.02998,116.681,cent2100,dtp,aust1307,kada1292,False,language,vulnerable,,,0,0,12,MY
cent2101,Central Melanau,Papunesia,2.524086,111.346451,cent2101,mel,aust1307,mela1255,False,language,vulnerable,,,0,0,10,BN MY
cent2142,Central Aymara,South America,-17.0,-68.5,cent2142,ayr,ayma1253,nucl1667,False,language,vulnerable,,,0,0,0,AR BO CL PE
chal1275,Chaldean Neo-Aramaic,Eurasia,37.0972,43.5027,chal1275,cld,afro1255,nort3241,False,language,definitely endangered,,,0,0,7,IQ SY TR
cham1312,Chamorro,Papunesia,13.438011,144.74474,cham1312,cha,aust1307,mala1545,False,language,vulnerable,,,0,0,2,GU MP
cham1318,Chamicuro,South America,-5.1149,-75.6778,cham1318,ccc,araw1281,cham1317,False,language,critically endangered,,,0,0,0,PE
chek1238,Cheke Holo,Papunesia,-8.27055,159.625,chek1238,mrn,aust1307,east2452,False,language,safe,,,0,0,2,SB
cher1273,Cherokee,North America,35.4664,-83.163,cher1273,chr,iroq1247,iroq1247,False,language,vulnerable,,,0,0,4,US
chim1300,Chimalapa Zoque,North America,16.6543,-94.6913,chim1300,zoh,mixe1284,zoqu1261,False,language,definitely endangered,,,0,0,0,MX
chim1302,Chimborazo Highland Quichua,South America,-1.36727,-78.8521,chim1302,qug,quec1387,colo1257,False,language,vulnerable,,,0,0,0,EC
chin1272,Creolized Grand Ronde Chinook Jargon,North America,55.0,-125.0,chin1272,chn,chin1490,lowe1438,False,language,critically endangered,,,0,0,0,CA US
chiq1250,Chiquihuitlán Mazatec,North America,18.0541,-96.6659,chiq1250,maq,otom1299,maza1308,False,language,definitely endangered,,,0,0,0,MX
chol1282,Chol,North America,17.4897,-92.4698,chol1282,ctu,maya1287,chol1281,False,language,safe,,,0,0,0,MX
chol1284,Cholón,South America,-9.23129,-75.9621,chol1284,cht,hibi1242,hibi1242,False,language,extinct,,,0,0,0,PE
chop1243,Chopi,Africa,-24.8327,34.1097,chop1243,cce,atla1278,chop1242,False,language,safe,,,0,0,6,MZ
chra1242,Chrau,Eurasia,10.8021,107.293,chra1242,crw,aust1305,mnon1258,False,language,vulnerable,,,0,0,9,VN
chum1261,Chumburung,Africa,8.15211,-0.2755,chum1261,ncu,atla1278,rive1262,False,language,safe,,,0,0,3,GH
chuu1238,Chuukese,Papunesia,7.346993,151.598607,chuu1238,chk,aust1307,mort1238,False,language,safe,,,0,0,2,FM
chuv1255,Chuvash,Eurasia,55.487,47.163,chuv1255,chv,turk1311,bolg1249,False,language,vulnerable,,,0,0,2,EE KZ RU
ciac1237,Cia-Cia,Papunesia,-5.68289,122.791,ciac1237,cia,aust1307,buto1237,False,language,safe,,,0,0,10,ID
clas1254,Classical Tibetan,Eurasia,,,clas1254,xct,sino1245,oldm1245,False,language,extinct,,,0,0,0,CN
coat1238,Coatlán Mixe,North America,16.9404,-95.4659,coat1238,mco,mixe1284,lowl1263,False,language,vulnerable,,,0,0,2,MX
coco1260,Cocos Islands Malay,Papunesia,-12.193342,96.833679,coco1260,coa,aust1307,beta1260,False,language,definitely endangered,,,0,0,0,MY
copa1236,Copainalá Zoque,North America,17.2157,-93.3183,copa1236,zoc,mixe1284,chia1261,False,language,definitely endangered,,,0,0,2,MX
copt1239,Coptic,Africa,29.472,31.2053,copt1239,cop,afro1255,egyp1245,False,language,extinct,,,0,0,9,EG
creo1235,Guyanese Creole English,South America,4.070915,-58.918172,creo1235,gyn,indo1319,barb1267,False,language,safe,,,0,0,0,GY SR
crow1244,Crow,North America,45.368,-107.874,crow1244,cro,siou1252,miss1252,False,language,definitely endangered,,,0,0,0,US
culi1244,Culina,South America,-8.55268,-70.6648,culi1244,cul,araw1282,madi1263,False,language,definitely endangered,,,0,0,2,BR PE
cupe1243,Cupeño,North America,33.3148,-116.515,cupe1243,cup,utoa1244,cahu1263,False,language,extinct,,,0,0,0,US
curr1243,Curripaco,South America,0.69618,-67.5028,curr1243,kpc,araw1281,bani1259,False,language,vulnerable,,,0,0,2,BR CO VE
czec1258,Czech,Eurasia,49.873398,15.10437,czec1258,ces,indo1319,czec1261,False,language,safe,,,0,0,6,AT CZ PL SK
daak1235,Da'a Kaili,Papunesia,-1.21051,119.527,daak1235,kzf,aust1307,kail1254,False,language,safe,,,0,0,2,ID
dame1241,Dameli,Eurasia,35.299,71.6806,dame1241,dml,indo1319,kuna1264,False,language,vulnerable,,,0,0,0,PK
dani1285,Danish,Eurasia,54.8655,9.36284,dani1285,dan,indo1319,sout3248,False,language,safe,,,0,0,0,DE DK
dari1249,Dari,Eurasia,31.0405,67.3593,dari1249,prs,indo1319,east2745,False,language,safe,,,0,0,2,AF IR PK TJ TM
daur1238,Dagur,Eurasia,48.0,124.0,daur1238,dta,mong1329,mong1329,False,language,definitely endangered,,,0,0,3,CN KZ MN
dehu1237,Dehu,Papunesia,-20.8892,167.229,dehu1237,dhv,aust1307,loya1239,False,language,safe,,,0,0,2,NC
dera1245,Dera (Indonesia),Papunesia,-3.52309,140.947,dera1245,kbv,sena1264,sena1264,False,language,definitely endangered,,,0,0,5,ID PG
diml1238,Dimli,Eurasia,38.6147,39.6388,diml1238,diq,indo1319,zaza1246,False,language,vulnerable,,,0,0,5,TR
djam1255,Jaminjung-Ngaliwurru,Australia,-15.0558,130.06,djam1255,djd,mirn1241,djam1254,False,language,definitely endangered,,,0,0,2,AU
djin1253,Djinang,Australia,-12.462,134.82,djin1253,dji,pama1250,west2440,False,language,definitely endangered,,,0,0,6,AU
domm1246,Dom,Papunesia,-6.03737,144.895,domm1246,doa,nucl1709,kuma1279,False,language,safe,,,0,0,1,PG
doro1266,Doromu-Koki,Papunesia,-9.56687,147.986,doro1266,kqc,manu1261,manu1261,False,language,safe,,,0,0,3,PG
dual1243,Duala,Africa,4.10208,9.61877,dual1243,dua,atla1278,dual1245,False,language,safe,,,0,0,4,CM
dumb1241,Dumbea,Papunesia,-22.0947,166.531,dumb1241,duf,aust1307,extr1245,False,language,vulnerable,,,0,0,3,NC
duru1236,Duruwa,Eurasia,19.0534,82.4881,duru1236,pci,drav1251,parj1243,False,language,vulnerable,,,0,0,4,IN
dusn1237,Dusner,Papunesia,-2.73859,134.391,dusn1237,dsn,aust1307,biak1249,False,language,critically endangered,,,0,0,0,ID
dutc1256,Dutch,Eurasia,52.0,5.0,dutc1256,nld,indo1319,mode1257,False,language,safe,,,0,0,5,BE BR DE GF GY NL SR
dzon1239,Dzongkha,Eurasia,27.410786,89.581604,dzon1239,dzo,sino1245,nucl1307,False,language,vulnerable,,,0,0,3,BT CN IN NP
east2328,Eastern Mari,Eurasia,55.8307,48.405,east2328,mhr,ural1272,mari1278,False,language,vulnerable,,,0,0,1,KZ RU
east2344,Eastern Khams,Eurasia,,,east2344,,sino1245,kham1282,False,dialect,safe,,,0,0,0,
east2440,East Makian,Papunesia,0.07337,127.423,east2440,mky,aust1307,east2439,False,language,definitely endangered,,,0,0,2,ID
east2542,Eastern Ojibwa,North America,45.0112,-79.7503,east2542,ojg,algi1248,cent2252,False,language,definitely endangered,,,0,0,0,CA
east2652,Eastern Oromo,Africa,8.67428,41.4395,east2652,hae,afro1255,sout3218,False,language,safe,,,0,0,4,ET
edol1239,Edolo,Papunesia,-6.11618,142.65,edol1239,etr,bosa1245,etor1234,False,language,safe,,,0,0,2,PG
egyp1253,Egyptian Arabic,Africa,31.0,31.0,egyp1253,arz,afro1255,egyp1254,False,language,safe,,,0,0,3,EG IL LY
ende1246,Ende,Papunesia,-8.70998,121.555,ende1246,end,aust1307,ende1245,False,language,safe,,,0,0,2,ID
enga1252,Enga,Papunesia,-5.45619,143.685,enga1252,enq,nucl1709,enga1251,False,language,safe,,,0,0,13,PG
erzy1239,Erzya,Eurasia,52.8548,45.3901,erzy1239,myv,ural1272,mord1256,False,language,definitely endangered,,,0,0,0,AZ BY EE KZ LT LV RU UA
esto1258,Estonian,Eurasia,58.55,25.82,esto1258,ekk,ural1272,cent2329,False,language,safe,,,0,0,2,EE LV RU
even1260,Even,Eurasia,70.6687,130.914,even1260,eve,tung1282,nort3147,False,language,severely endangered,,,0,0,10,RU
ewee1241,Ewe,Africa,6.46061,0.814975,ewee1241,ewe,atla1278,west2802,False,language,safe,,,0,0,14,GH TG
ewon1239,Ewondo,Africa,4.21141,11.93646,ewon1239,ewo,atla1278,ewon1241,False,language,safe,,,0,0,15,CM GA GQ
fiji1243,Fijian,Papunesia,-18.0,178.33,fiji1243,fij,aust1307,east2446,False,language,safe,,,0,0,8,FJ
finn1318,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,ural1272,nucl1717,False,language,safe,,,0,0,7,EE FI NO RU SE
foii1241,Foi,Papunesia,-6.47258,143.495,foii1241,foi,east2499,east2499,False,language,safe,,,0,0,4,PG
food1238,Foodo,Africa,9.56489,1.40486,food1238,fod,atla1278,giky1241,False,language,safe,,,0,0,0,BJ TG
ford1242,Fordata,Papunesia,-7.28902,131.511,ford1242,frd,aust1307,keif1237,False,language,vulnerable,,,0,0,4,ID
