ID,Name,Description
1EA44801831867852FAEC38EA13B7174,uə̯,LATIN SMALL LETTER U - LATIN SMALL LETTER SCHWA - COMBINING INVERTED BREVE BELOW
B6D180EA250E6FBDE82C3D1F1BB4A39C,æ,LATIN SMALL LETTER AE
2060144B3E5025B6C6FAAEBAF9EC4038,bʷ,LATIN SMALL LETTER B - MODIFIER LETTER SMALL W
7B19DF4EAB2A03B16BE2C19165F2F68E,ʊa,LATIN SMALL LETTER UPSILON - LATIN SMALL LETTER A
E4C7E620DA806F79F518E0B318E1EFD3,ʊai,LATIN SMALL LETTER UPSILON - LATIN SMALL LETTER A - LATIN SMALL LETTER I
E71D05DAE9183616F7C76565B16DBA98,d̤z̤,LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER Z - COMBINING DIAERESIS BELOW
D71DE3568C44D840C55E269C432DC0BE,d̤ɮ̤,LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER LEZH - COMBINING DIAERESIS BELOW
F61883B1DE401AAC8D05094B23586566,m̤,LATIN SMALL LETTER M - COMBINING DIAERESIS BELOW
DBF19273A36B35FFE4DF7AB307D39476,n̤,LATIN SMALL LETTER N - COMBINING DIAERESIS BELOW
0416671FD4F0C7F4013178EE9DBAA24F,ndl,LATIN SMALL LETTER N - LATIN SMALL LETTER D - LATIN SMALL LETTER L
9FE3CB20DEE73F67382D753B13EBE3F5,n̤d̤ɮ̤,LATIN SMALL LETTER N - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW - LATIN SMALL LETTER LEZH - COMBINING DIAERESIS BELOW
923E169D84C70D89278B0FA651125EE1,tl,LATIN SMALL LETTER T - LATIN SMALL LETTER L
AEDD189312FB757368CC6CA8C4CC7C8C,tlʱ,LATIN SMALL LETTER T - LATIN SMALL LETTER L - MODIFIER LETTER SMALL H WITH HOOK
E61654B85E72EDDB4ADA812B48BA9452,ɱ,LATIN SMALL LETTER M WITH HOOK
7D184A6DCDA3EB154F9CB34651E02EEE,θ,GREEK SMALL LETTER THETA
CEB8A516242B5E336874AC64E81D655E,ɘ,LATIN SMALL LETTER REVERSED E
2DA484FF3408444AF11E01960C9C893A,t̪,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW
8AD5C612764E127E084477DD1C52B817,cç,LATIN SMALL LETTER C - LATIN SMALL LETTER C WITH CEDILLA
2ED41B5E874292EB0C3BBC6F31DC6FCC,n̪,LATIN SMALL LETTER N - COMBINING BRIDGE BELOW
657927591D7E6185B6BCE4C3AA68423F,l̪ˤ,LATIN SMALL LETTER L - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
8119CBA9EE3F60EE9F9E41FCF4FD74C2,n̪ˤ,LATIN SMALL LETTER N - COMBINING BRIDGE BELOW - MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
3BE9D8AA68FB8CA25C1D8EE2091DC6D0,kp,LATIN SMALL LETTER K - LATIN SMALL LETTER P
8EB42EA410A32B30095194B613991F57,ŋmɡb,LATIN SMALL LETTER ENG - LATIN SMALL LETTER M - LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B
FF3BCE6706554EB6F6578B7B9A4FE7FF,ŋmkp,LATIN SMALL LETTER ENG - LATIN SMALL LETTER M - LATIN SMALL LETTER K - LATIN SMALL LETTER P
24E11ABCF1AD3B0C6D805A63C3D713A4,ua,LATIN SMALL LETTER U - LATIN SMALL LETTER A
D3867260AB7CFE5A579FD7E8ACD31024,t̪ʼ,LATIN SMALL LETTER T - COMBINING BRIDGE BELOW - MODIFIER LETTER APOSTROPHE
B95529318452F7E00AE69C18EBE1E0F2,ɡʷ,LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W
5E12425DA8E8C8FD24F187BE6A56D20F,ai,LATIN SMALL LETTER A - LATIN SMALL LETTER I
5BE4C11A46BF8574A311C86A500B67E9,n̠t̠ʃ,LATIN SMALL LETTER N - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER T - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER ESH
902920A127B42AF0CEC214D96BEF27C4,ʟ,LATIN LETTER SMALL CAPITAL L
D17CE01E5AFD7AA148785E96513B07CA,ʡ,LATIN LETTER GLOTTAL STOP WITH STROKE
C6880E4D32532681166EBA4D7D3AA2E0,tsʰ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H
A45C691E21EA0FAFEE63B62AB0D30647,n̺d̺z̺,LATIN SMALL LETTER N - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER D - COMBINING INVERTED BRIDGE BELOW - LATIN SMALL LETTER Z - COMBINING INVERTED BRIDGE BELOW
BF12DE184C2966E2D5F83A7F25285B98,mp,LATIN SMALL LETTER M - LATIN SMALL LETTER P
646674CE0AF099A6E69FB25363B53313,pʼ,LATIN SMALL LETTER P - MODIFIER LETTER APOSTROPHE
6ADCB174BD3E66C872E3F0867DE9ADA4,pʷʼ,LATIN SMALL LETTER P - MODIFIER LETTER SMALL W - MODIFIER LETTER APOSTROPHE
A9F45477DAC8AB8BB14C84275ED3690F,ĩ,LATIN SMALL LETTER I - COMBINING TILDE
25061B1A6BE5A4214D5C675C56B92574,au,LATIN SMALL LETTER A - LATIN SMALL LETTER U
9E3DA4E58709F9BF9E17A449D28EE7D6,ðˠ,LATIN SMALL LETTER ETH - MODIFIER LETTER SMALL GAMMA
DF1C4BB6D5D67AF07427900EB81EF244,sˠ,LATIN SMALL LETTER S - MODIFIER LETTER SMALL GAMMA
98C25FD77ED38B80CBD57629F93A9DF8,tˠ,LATIN SMALL LETTER T - MODIFIER LETTER SMALL GAMMA
DB415281921248FCDAF723AFA0D986E4,ʜ,LATIN LETTER SMALL CAPITAL H
5745AAC70E7A7B7175204204FFBE639F,ɒ,LATIN SMALL LETTER TURNED ALPHA
A86FE9374CDF8B0B4762996156F388C2,ɖʰ,LATIN SMALL LETTER D WITH TAIL - MODIFIER LETTER SMALL H
12284E9A12BC41F54DBF307EDD516C76,æ̃ː,LATIN SMALL LETTER AE - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON
84FD9198ADD53CB38EF1B7A66DC0DB74,ɑ̃ː,LATIN SMALL LETTER ALPHA - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON
7CE76FD1B39B58673C93812B6769FB38,œ̃ː,LATIN SMALL LIGATURE OE - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON
A8502B647A72314DC6621C4135B5EE3E,ɔ̃ː,LATIN SMALL LETTER OPEN O - COMBINING TILDE - MODIFIER LETTER TRIANGULAR COLON
1F27FEFCD8402C09E00300258B5A7EE2,ɡb,LATIN SMALL LETTER SCRIPT G - LATIN SMALL LETTER B
DCA95603F25D35DC7849C173B1B63642,mbʷ,LATIN SMALL LETTER M - LATIN SMALL LETTER B - MODIFIER LETTER SMALL W
AB82830F169A66AB145EF22527B96A24,ŋɡʷ,LATIN SMALL LETTER ENG - LATIN SMALL LETTER SCRIPT G - MODIFIER LETTER SMALL W
